complaint_id,original_id,complaint_text,category,department,status,customer_id,date_received,date_resolved,created_at,complaint_text_clean,resolution_time_hours,vader_label,vader_score,transformer_label,transformer_score,sentiment_label,sentiment_score,sentiment_model_used
623,623,"There is a billing error, I already paid but it still shows unpaid.",Billing Issue,Billing,Resolved,CUST2284,2025-05-22 14:32:00,2025-05-24 19:53:25,2026-07-23 20:15:32,billing error already paid still shows unpaid,53.35694444444445,Negative,-0.2144,Negative,-0.9994487166404724,Negative,-0.9994487166404724,transformer
624,624,The response time for service requests is unacceptably slow.,Service Delay,Operations,In Progress,CUST6527,2025-06-05 19:55:00,,2026-07-23 20:15:32,response time service requests unacceptably slow,,Neutral,0.0,Negative,-0.9997486472129822,Negative,-0.9997486472129822,transformer
625,625,The staff member was polite and handled my issue very well.,,Customer Support,Open,CUST4739,2025-07-28 08:58:00,,2026-07-23 20:15:32,staff member polite handled issue well,,Positive,0.3384,Positive,0.9998146891593933,Positive,0.9998146891593933,transformer
626,626,The response time for service requests is unacceptably slow.,Service Delay,Operations,Resolved,CUST6950,2025-09-20 19:41:00,2025-09-24 22:15:16,2026-07-23 20:15:32,response time service requests unacceptably slow,98.57111111111112,Neutral,0.0,Negative,-0.9997486472129822,Negative,-0.9997486472129822,transformer
627,627,Thank you for quickly fixing the safety issue I reported earlier.,,Security,In Progress,CUST4844,2025-12-14 10:10:00,,2026-07-23 20:15:32,thank quickly fixing safety issue reported earlier,,Positive,0.6486,Positive,0.9871915578842163,Positive,0.9871915578842163,transformer
628,628,The road near the facility is damaged and causing accidents.,Infrastructure,Maintenance,Open,CUST8752,2025-04-13 15:06:00,,2026-07-23 20:15:32,road near facility damaged causing accidents,,Negative,-0.6369,Negative,-0.9993550181388855,Negative,-0.9993550181388855,transformer
629,629,The staff at the counter was extremely rude to me today.,,Customer Support,Closed,CUST3544,2025-09-17 07:48:00,2025-09-20 13:23:23,2026-07-23 20:15:32,staff counter extremely rude today,77.58972222222222,Negative,-0.5095,Negative,-0.9993046522140503,Negative,-0.9993046522140503,transformer
630,630,Why is the late fee applied when I paid on time?,Billing Issue,Billing,In Progress,CUST3150,2025-05-08 14:47:00,,2026-07-23 20:15:32,late fee applied paid time,,Neutral,0.0,Negative,-0.9993433356285095,Negative,-0.9993433356285095,transformer
631,631,I was treated very disrespectfully by the customer support agent.,,Customer Support,Closed,CUST8801,2025-01-22 10:22:00,2025-01-24 20:32:19,2026-07-23 20:15:32,treated disrespectfully customer support agent,58.17194444444444,Positive,0.4019,Negative,-0.999445378780365,Negative,-0.999445378780365,transformer
632,632,The staff member was polite and handled my issue very well.,Staff Behavior,Customer Support,Open,CUST9835,2025-12-18 17:28:00,,2026-07-23 20:15:32,staff member polite handled issue well,,Positive,0.3384,Positive,0.9998146891593933,Positive,0.9998146891593933,transformer
633,633,The online payment portal charged me twice for the same bill.,Billing Issue,Billing,Closed,CUST9745,2025-06-24 21:40:00,2025-06-27 00:07:13,2026-07-23 20:15:32,online payment portal charged twice bill,50.45361111111111,Negative,-0.2023,Negative,-0.9943894743919373,Negative,-0.9943894743919373,transformer
634,634,The response time for service requests is unacceptably slow.,,Operations,Open,CUST7753,2025-07-08 21:51:00,,2026-07-23 20:15:32,response time service requests unacceptably slow,,Neutral,0.0,Negative,-0.9997486472129822,Negative,-0.9997486472129822,transformer
635,635,The response time for service requests is unacceptably slow.,,Operations,Closed,CUST5698,2025-01-17 16:52:00,2025-01-23 10:29:15,2026-07-23 20:15:32,response time service requests unacceptably slow,137.62083333333334,Neutral,0.0,Negative,-0.9997486472129822,Negative,-0.9997486472129822,transformer
636,636,The staff at the counter was extremely rude to me today.,,Customer Support,Resolved,CUST8052,2025-08-16 04:48:00,2025-08-18 13:39:24,2026-07-23 20:15:32,staff counter extremely rude today,56.85666666666667,Negative,-0.5095,Negative,-0.9993046522140503,Negative,-0.9993046522140503,transformer
637,637,Thank you for quickly fixing the safety issue I reported earlier.,Safety Concern,Security,Resolved,CUST8161,2025-04-01 03:35:00,2025-04-04 16:51:57,2026-07-23 20:15:32,thank quickly fixing safety issue reported earlier,85.2825,Positive,0.6486,Positive,0.9871915578842163,Positive,0.9871915578842163,transformer
638,638,No technician has visited despite multiple requests.,,Operations,Closed,CUST2297,2025-09-21 16:24:00,2025-09-22 14:42:30,2026-07-23 20:15:32,technician visited despite multiple requests,22.308333333333334,Negative,-0.296,Negative,-0.9824507832527161,Negative,-0.9824507832527161,transformer
639,639,I was treated very disrespectfully by the customer support agent.,Staff Behavior,Customer Support,Resolved,CUST5454,2025-07-26 15:58:00,2025-07-27 14:58:40,2026-07-23 20:15:32,treated disrespectfully customer support agent,23.011111111111116,Positive,0.4019,Negative,-0.999445378780365,Negative,-0.999445378780365,transformer
640,640,Staff keep telling me to wait but nothing happens.,,Operations,Closed,CUST5744,2025-10-14 23:12:00,2025-10-19 03:41:18,2026-07-23 20:15:32,staff keep telling wait nothing happens,100.48833333333332,Neutral,0.0,Negative,-0.9984003901481628,Negative,-0.9984003901481628,transformer
641,641,Why is the late fee applied when I paid on time?,,Billing,Resolved,CUST1317,2025-08-09 11:44:00,2025-08-10 12:07:11,2026-07-23 20:15:32,late fee applied paid time,24.386388888888888,Neutral,0.0,Negative,-0.9993433356285095,Negative,-0.9993433356285095,transformer
642,642,The online payment portal charged me twice for the same bill.,Billing Issue,Billing,In Progress,CUST1134,2025-01-04 16:18:00,,2026-07-23 20:15:32,online payment portal charged twice bill,,Negative,-0.2023,Negative,-0.9943894743919373,Negative,-0.9943894743919373,transformer
643,643,No technician has visited despite multiple requests.,Service Delay,Operations,Resolved,CUST9165,2025-01-07 15:21:00,2025-01-12 06:49:06,2026-07-23 20:15:32,technician visited despite multiple requests,111.46833333333332,Negative,-0.296,Negative,-0.9824507832527161,Negative,-0.9824507832527161,transformer
644,644,"Great job by the support team, issue resolved within a day.",Appreciation,Customer Support,Open,CUST3393,2025-08-02 09:21:00,,2026-07-23 20:15:32,great job support team issue resolved within day,,Positive,0.8176,Positive,0.9994268417358398,Positive,0.9994268417358398,transformer
645,645,Why is the late fee applied when I paid on time?,Billing Issue,Billing,In Progress,CUST7251,2025-02-16 07:11:00,,2026-07-23 20:15:32,late fee applied paid time,,Neutral,0.0,Negative,-0.9993433356285095,Negative,-0.9993433356285095,transformer
646,646,I was asked to pay extra money to get my work done faster.,Corruption/Bribery,Administration,Resolved,CUST5049,2025-12-23 15:15:00,2025-12-26 16:25:54,2026-07-23 20:15:32,asked pay extra money get work done faster,73.18166666666667,Negative,-0.1027,Negative,-0.9994475245475769,Negative,-0.9994475245475769,transformer
647,647,There are serious safety hazards at the site that need urgent attention.,Safety Concern,Security,Open,CUST4415,2025-04-24 20:49:00,,2026-07-23 20:15:32,serious safety hazards site need urgent attention,,Positive,0.5106,Negative,-0.9872455596923828,Negative,-0.9872455596923828,transformer
648,648,The employee refused to help and was arguing instead of assisting.,Staff Behavior,Customer Support,Closed,CUST9534,2025-12-06 08:40:00,2025-12-10 09:47:36,2026-07-23 20:15:32,employee refused help arguing instead assisting,97.12666666666668,Negative,-0.3612,Negative,-0.9993220567703247,Negative,-0.9993220567703247,transformer
649,649,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Closed,CUST4568,2025-08-07 11:23:00,2025-08-09 09:10:59,2026-07-23 20:15:32,late fee applied paid time,45.79972222222222,Neutral,0.0,Negative,-0.9993433356285095,Negative,-0.9993433356285095,transformer
650,650,"Excellent service today, very satisfied with the response.",,Customer Support,In Progress,CUST2960,2025-08-11 14:00:00,,2026-07-23 20:15:32,excellent service today satisfied response,,Positive,0.7778,Positive,0.9998507499694824,Positive,0.9998507499694824,transformer
651,651,No technician has visited despite multiple requests.,Service Delay,Operations,Closed,CUST3539,2025-01-02 11:37:00,2025-01-08 18:00:48,2026-07-23 20:15:32,technician visited despite multiple requests,150.39666666666668,Negative,-0.296,Negative,-0.9824507832527161,Negative,-0.9824507832527161,transformer
652,652,It has been three weeks and my complaint is still not resolved.,,Operations,Closed,CUST1983,2025-04-16 10:05:00,2025-04-21 07:53:42,2026-07-23 20:15:32,three weeks complaint still resolved,117.81166666666668,Negative,-0.4055,Negative,-0.9996131062507629,Negative,-0.9996131062507629,transformer
653,653,My bill amount doubled this month without any explanation.,,Billing,Open,CUST6690,2025-08-26 18:06:00,,2026-07-23 20:15:32,bill amount doubled month without explanation,,Neutral,0.0,Negative,-0.9965940117835999,Negative,-0.9965940117835999,transformer
654,654,Security personnel are not checking IDs properly at the gate.,Safety Concern,Security,Resolved,CUST5107,2025-09-01 09:44:00,2025-09-05 12:29:36,2026-07-23 20:15:32,security personnel checking ids properly gate,98.76,Positive,0.34,Negative,-0.9997747540473938,Negative,-0.9997747540473938,transformer
655,655,An official demanded a bribe before processing my documents.,Corruption/Bribery,Administration,Resolved,CUST4057,2025-08-18 09:18:00,2025-08-24 19:45:08,2026-07-23 20:15:32,official demanded bribe processing documents,154.45222222222222,Negative,-0.4019,Negative,-0.999240517616272,Negative,-0.999240517616272,transformer
656,656,The employee refused to help and was arguing instead of assisting.,Staff Behavior,Customer Support,Closed,CUST3627,2025-09-09 11:55:00,2025-09-12 05:18:35,2026-07-23 20:15:32,employee refused help arguing instead assisting,65.39305555555555,Negative,-0.3612,Negative,-0.9993220567703247,Negative,-0.9993220567703247,transformer
657,657,My bill amount doubled this month without any explanation.,Billing Issue,Billing,Resolved,CUST9289,2025-06-27 17:16:00,2025-06-30 02:58:20,2026-07-23 20:15:32,bill amount doubled month without explanation,57.70555555555556,Neutral,0.0,Negative,-0.9965940117835999,Negative,-0.9965940117835999,transformer
658,658,No technician has visited despite multiple requests.,Service Delay,Operations,Resolved,CUST6254,2025-11-20 09:54:00,2025-11-25 08:30:41,2026-07-23 20:15:32,technician visited despite multiple requests,118.61138888888888,Negative,-0.296,Negative,-0.9824507832527161,Negative,-0.9824507832527161,transformer
659,659,Thank you for quickly fixing the safety issue I reported earlier.,Safety Concern,Security,Closed,CUST3525,2025-10-07 17:33:00,2025-10-12 13:01:39,2026-07-23 20:15:32,thank quickly fixing safety issue reported earlier,115.4775,Positive,0.6486,Positive,0.9871915578842163,Positive,0.9871915578842163,transformer
660,660,The equipment at the site is old and frequently malfunctions.,Infrastructure,Maintenance,Open,CUST1717,2025-06-11 17:07:00,,2026-07-23 20:15:32,equipment site old frequently malfunctions,,Neutral,0.0,Negative,-0.9997950196266174,Negative,-0.9997950196266174,transformer
661,661,I was asked to pay extra money to get my work done faster.,,Administration,Open,CUST1521,2025-03-02 16:12:00,,2026-07-23 20:15:32,asked pay extra money get work done faster,,Negative,-0.1027,Negative,-0.9994475245475769,Negative,-0.9994475245475769,transformer
662,662,Poor maintenance of the facility is causing repeated problems.,,Maintenance,Closed,CUST7002,2025-08-17 14:39:00,2025-08-28 08:27:11,2026-07-23 20:15:32,poor maintenance facility causing repeated problems,257.80305555555555,Negative,-0.7003,Negative,-0.9997307658195496,Negative,-0.9997307658195496,transformer
663,663,It has been three weeks and my complaint is still not resolved.,Service Delay,Operations,Resolved,CUST2310,2025-01-07 08:41:00,2025-01-14 20:38:42,2026-07-23 20:15:32,three weeks complaint still resolved,179.96166666666667,Negative,-0.4055,Negative,-0.9996131062507629,Negative,-0.9996131062507629,transformer
664,664,The staff at the counter was extremely rude to me today.,Staff Behavior,Customer Support,Resolved,CUST1955,2025-05-24 12:56:00,2025-05-28 03:05:08,2026-07-23 20:15:32,staff counter extremely rude today,86.15222222222222,Negative,-0.5095,Negative,-0.9993046522140503,Negative,-0.9993046522140503,transformer
665,665,An official demanded a bribe before processing my documents.,,Administration,Closed,CUST4537,2025-07-24 08:04:00,2025-07-31 12:33:55,2026-07-23 20:15:32,official demanded bribe processing documents,172.4986111111111,Negative,-0.4019,Negative,-0.999240517616272,Negative,-0.999240517616272,transformer
666,666,I want to thank the team for resolving my issue so quickly.,,Customer Support,Resolved,CUST5075,2025-02-08 11:34:00,2025-02-09 04:17:44,2026-07-23 20:15:32,want thank team resolving issue quickly,16.72888888888889,Positive,0.6597,Positive,0.9981899857521057,Positive,0.9981899857521057,transformer
667,667,There is a major leakage that has not been fixed for weeks.,Infrastructure,Maintenance,Closed,CUST6864,2025-07-18 09:26:00,2025-07-24 06:10:00,2026-07-23 20:15:32,major leakage fixed weeks,140.73333333333332,Neutral,0.0,Negative,-0.9974085688591003,Negative,-0.9974085688591003,transformer
668,668,Poor maintenance of the facility is causing repeated problems.,Infrastructure,Maintenance,In Progress,CUST6529,2025-11-06 14:50:00,,2026-07-23 20:15:32,poor maintenance facility causing repeated problems,,Negative,-0.7003,Negative,-0.9997307658195496,Negative,-0.9997307658195496,transformer
669,669,The new infrastructure upgrade has improved things significantly.,,Maintenance,Resolved,CUST6319,2025-12-15 10:59:00,2025-12-23 17:50:24,2026-07-23 20:15:32,new infrastructure upgrade improved things significantly,198.85666666666663,Positive,0.4767,Positive,0.9997418522834778,Positive,0.9997418522834778,transformer
670,670,An official demanded a bribe before processing my documents.,Corruption/Bribery,Administration,Closed,CUST9939,2025-09-14 16:52:00,2025-09-19 20:05:44,2026-07-23 20:15:32,official demanded bribe processing documents,123.22888888888887,Negative,-0.4019,Negative,-0.999240517616272,Negative,-0.999240517616272,transformer
671,671,The online payment portal charged me twice for the same bill.,Billing Issue,Billing,Closed,CUST7505,2025-12-09 01:23:00,2025-12-09 13:06:14,2026-07-23 20:15:32,online payment portal charged twice bill,11.720555555555556,Negative,-0.2023,Negative,-0.9943894743919373,Negative,-0.9943894743919373,transformer
672,672,I was overcharged on my last bill and no one is responding.,Billing Issue,Billing,Resolved,CUST5945,2025-12-20 07:01:00,2025-12-21 22:19:56,2026-07-23 20:15:32,overcharged last bill one responding,39.31555555555556,Negative,-0.296,Negative,-0.9996205568313599,Negative,-0.9996205568313599,transformer
673,673,My bill amount doubled this month without any explanation.,Billing Issue,Billing,Closed,CUST5521,2025-04-11 14:01:00,2025-04-11 15:28:41,2026-07-23 20:15:32,bill amount doubled month without explanation,1.4613888888888888,Neutral,0.0,Negative,-0.9965940117835999,Negative,-0.9965940117835999,transformer
674,674,"Excellent service today, very satisfied with the response.",,Customer Support,In Progress,CUST5093,2025-02-15 10:22:00,,2026-07-23 20:15:32,excellent service today satisfied response,,Positive,0.7778,Positive,0.9998507499694824,Positive,0.9998507499694824,transformer
675,675,The response time for service requests is unacceptably slow.,Service Delay,Operations,Closed,CUST6319,2025-02-13 15:36:00,2025-02-19 09:27:44,2026-07-23 20:15:32,response time service requests unacceptably slow,137.8622222222222,Neutral,0.0,Negative,-0.9997486472129822,Negative,-0.9997486472129822,transformer
676,676,No safety measures are in place despite previous warnings.,Safety Concern,Security,Resolved,CUST5921,2025-07-23 06:44:00,2025-07-27 17:58:21,2026-07-23 20:15:32,safety measures place despite previous warnings,107.23916666666666,Negative,-0.1139,Negative,-0.998145341873169,Negative,-0.998145341873169,transformer
677,677,The online payment portal charged me twice for the same bill.,,Billing,Closed,CUST8115,2025-06-25 12:03:00,2025-06-27 06:59:39,2026-07-23 20:15:32,online payment portal charged twice bill,42.94416666666667,Negative,-0.2023,Negative,-0.9943894743919373,Negative,-0.9943894743919373,transformer
678,678,It has been three weeks and my complaint is still not resolved.,Service Delay,Operations,Closed,CUST1187,2025-11-08 22:47:00,2025-11-13 03:25:31,2026-07-23 20:15:32,three weeks complaint still resolved,100.64194444444443,Negative,-0.4055,Negative,-0.9996131062507629,Negative,-0.9996131062507629,transformer
679,679,Poor maintenance of the facility is causing repeated problems.,Infrastructure,Maintenance,In Progress,CUST6354,2025-01-17 08:02:00,,2026-07-23 20:15:32,poor maintenance facility causing repeated problems,,Negative,-0.7003,Negative,-0.9997307658195496,Negative,-0.9997307658195496,transformer
680,680,I was treated very disrespectfully by the customer support agent.,Staff Behavior,Customer Support,Closed,CUST9269,2025-03-22 13:46:00,2025-03-27 09:03:52,2026-07-23 20:15:32,treated disrespectfully customer support agent,115.29777777777778,Positive,0.4019,Negative,-0.999445378780365,Negative,-0.999445378780365,transformer
681,681,Why is the late fee applied when I paid on time?,,Billing,Open,CUST1807,2025-05-13 13:09:00,,2026-07-23 20:15:32,late fee applied paid time,,Neutral,0.0,Negative,-0.9993433356285095,Negative,-0.9993433356285095,transformer
682,682,The employee refused to help and was arguing instead of assisting.,,Customer Support,Closed,CUST3209,2025-02-17 01:27:00,2025-02-21 02:43:04,2026-07-23 20:15:32,employee refused help arguing instead assisting,97.26777777777778,Negative,-0.3612,Negative,-0.9993220567703247,Negative,-0.9993220567703247,transformer
683,683,I was treated very disrespectfully by the customer support agent.,Staff Behavior,Customer Support,In Progress,CUST9589,2025-07-21 10:36:00,,2026-07-23 20:15:32,treated disrespectfully customer support agent,,Positive,0.4019,Negative,-0.999445378780365,Negative,-0.999445378780365,transformer
684,684,It has been three weeks and my complaint is still not resolved.,Service Delay,Operations,Closed,CUST2843,2025-04-14 13:20:00,2025-04-19 01:28:07,2026-07-23 20:15:32,three weeks complaint still resolved,108.13527777777776,Negative,-0.4055,Negative,-0.9996131062507629,Negative,-0.9996131062507629,transformer
685,685,Poor maintenance of the facility is causing repeated problems.,Infrastructure,Maintenance,In Progress,CUST5994,2025-06-07 05:20:00,,2026-07-23 20:15:32,poor maintenance facility causing repeated problems,,Negative,-0.7003,Negative,-0.9997307658195496,Negative,-0.9997307658195496,transformer
686,686,"There is a billing error, I already paid but it still shows unpaid.",Billing Issue,Billing,Resolved,CUST4825,2025-08-26 07:28:00,2025-08-27 18:22:21,2026-07-23 20:15:32,billing error already paid still shows unpaid,34.905833333333334,Negative,-0.2144,Negative,-0.9994487166404724,Negative,-0.9994487166404724,transformer
687,687,"There is a billing error, I already paid but it still shows unpaid.",Billing Issue,Billing,Open,CUST4982,2025-03-24 11:54:00,,2026-07-23 20:15:32,billing error already paid still shows unpaid,,Negative,-0.2144,Negative,-0.9994487166404724,Negative,-0.9994487166404724,transformer
688,688,"Excellent service today, very satisfied with the response.",Appreciation,Customer Support,Open,CUST2823,2025-11-27 08:18:00,,2026-07-23 20:15:32,excellent service today satisfied response,,Positive,0.7778,Positive,0.9998507499694824,Positive,0.9998507499694824,transformer
689,689,I have been waiting since last month for this issue to be fixed.,,Operations,Resolved,CUST9573,2025-01-07 13:47:00,2025-01-14 13:14:58,2026-07-23 20:15:32,waiting since last month issue fixed,167.4661111111111,Neutral,0.0,Negative,-0.9983676075935364,Negative,-0.9983676075935364,transformer
690,690,Thank you for quickly fixing the safety issue I reported earlier.,Safety Concern,Security,Closed,CUST7170,2025-07-24 09:09:00,2025-07-29 01:35:20,2026-07-23 20:15:32,thank quickly fixing safety issue reported earlier,112.43888888888888,Positive,0.6486,Positive,0.9871915578842163,Positive,0.9871915578842163,transformer
691,691,The new infrastructure upgrade has improved things significantly.,Infrastructure,Maintenance,In Progress,CUST5444,2025-01-06 08:03:00,,2026-07-23 20:15:32,new infrastructure upgrade improved things significantly,,Positive,0.4767,Positive,0.9997418522834778,Positive,0.9997418522834778,transformer
692,692,I was overcharged on my last bill and no one is responding.,Billing Issue,Billing,Closed,CUST6901,2025-02-22 08:17:00,2025-02-25 11:09:03,2026-07-23 20:15:32,overcharged last bill one responding,74.8675,Negative,-0.296,Negative,-0.9996205568313599,Negative,-0.9996205568313599,transformer
693,693,I was asked to pay extra money to get my work done faster.,Corruption/Bribery,Administration,In Progress,CUST2631,2025-05-21 05:24:00,,2026-07-23 20:15:32,asked pay extra money get work done faster,,Negative,-0.1027,Negative,-0.9994475245475769,Negative,-0.9994475245475769,transformer
694,694,"Great job by the support team, issue resolved within a day.",Appreciation,Customer Support,In Progress,CUST8503,2025-11-18 19:05:00,,2026-07-23 20:15:32,great job support team issue resolved within day,,Positive,0.8176,Positive,0.9994268417358398,Positive,0.9994268417358398,transformer
695,695,The staff at the counter was extremely rude to me today.,Staff Behavior,Customer Support,In Progress,CUST3572,2025-01-17 06:19:00,,2026-07-23 20:15:32,staff counter extremely rude today,,Negative,-0.5095,Negative,-0.9993046522140503,Negative,-0.9993046522140503,transformer
696,696,"There is a billing error, I already paid but it still shows unpaid.",Billing Issue,Billing,Closed,CUST5519,2025-05-10 13:15:00,2025-05-13 07:00:10,2026-07-23 20:15:32,billing error already paid still shows unpaid,65.75277777777778,Negative,-0.2144,Negative,-0.9994487166404724,Negative,-0.9994487166404724,transformer
697,697,I witnessed a near-accident due to lack of proper signage.,Safety Concern,Security,Closed,CUST4695,2025-11-27 15:01:00,2025-12-01 23:10:26,2026-07-23 20:15:32,witnessed near accident due lack proper signage,104.15722222222222,Negative,-0.3182,Negative,-0.9997788071632385,Negative,-0.9997788071632385,transformer
698,698,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Resolved,CUST4726,2025-08-03 16:46:00,2025-08-06 05:51:01,2026-07-23 20:15:32,late fee applied paid time,61.08361111111111,Neutral,0.0,Negative,-0.9993433356285095,Negative,-0.9993433356285095,transformer
699,699,Staff keep telling me to wait but nothing happens.,Service Delay,Operations,Resolved,CUST3158,2025-03-10 10:58:00,2025-03-15 16:27:51,2026-07-23 20:15:32,staff keep telling wait nothing happens,125.4975,Neutral,0.0,Negative,-0.9984003901481628,Negative,-0.9984003901481628,transformer
700,700,My bill amount doubled this month without any explanation.,,Billing,In Progress,CUST9582,2025-07-22 16:51:00,,2026-07-23 20:15:32,bill amount doubled month without explanation,,Neutral,0.0,Negative,-0.9965940117835999,Negative,-0.9965940117835999,transformer
701,701,"Great job by the support team, issue resolved within a day.",Appreciation,Customer Support,Closed,CUST3589,2025-12-25 12:09:00,2025-12-26 21:16:17,2026-07-23 20:15:32,great job support team issue resolved within day,33.12138888888889,Positive,0.8176,Positive,0.9994268417358398,Positive,0.9994268417358398,transformer
702,702,Staff keep telling me to wait but nothing happens.,Service Delay,Operations,In Progress,CUST3384,2025-07-24 14:07:00,,2026-07-23 20:15:32,staff keep telling wait nothing happens,,Neutral,0.0,Negative,-0.9984003901481628,Negative,-0.9984003901481628,transformer
703,703,I witnessed a near-accident due to lack of proper signage.,Safety Concern,Security,In Progress,CUST5485,2025-11-14 13:26:00,,2026-07-23 20:15:32,witnessed near accident due lack proper signage,,Negative,-0.3182,Negative,-0.9997788071632385,Negative,-0.9997788071632385,transformer
704,704,My bill amount doubled this month without any explanation.,Billing Issue,Billing,Closed,CUST5372,2025-02-06 15:01:00,2025-02-08 02:30:33,2026-07-23 20:15:32,bill amount doubled month without explanation,35.4925,Neutral,0.0,Negative,-0.9965940117835999,Negative,-0.9965940117835999,transformer
705,705,The new infrastructure upgrade has improved things significantly.,Infrastructure,Maintenance,Closed,CUST8808,2025-04-08 17:14:00,2025-04-15 10:31:20,2026-07-23 20:15:32,new infrastructure upgrade improved things significantly,161.2888888888889,Positive,0.4767,Positive,0.9997418522834778,Positive,0.9997418522834778,transformer
706,706,The online payment portal charged me twice for the same bill.,Billing Issue,Billing,In Progress,CUST8763,2025-06-21 09:23:00,,2026-07-23 20:15:32,online payment portal charged twice bill,,Negative,-0.2023,Negative,-0.9943894743919373,Negative,-0.9943894743919373,transformer
707,707,My bill amount doubled this month without any explanation.,Billing Issue,Billing,Closed,CUST7767,2025-04-14 22:48:00,2025-04-16 02:59:37,2026-07-23 20:15:32,bill amount doubled month without explanation,28.19361111111111,Neutral,0.0,Negative,-0.9965940117835999,Negative,-0.9965940117835999,transformer
708,708,No technician has visited despite multiple requests.,Service Delay,Operations,Closed,CUST9027,2025-09-03 16:11:00,2025-09-07 14:46:37,2026-07-23 20:15:32,technician visited despite multiple requests,94.59361111111112,Negative,-0.296,Negative,-0.9824507832527161,Negative,-0.9824507832527161,transformer
709,709,Poor maintenance of the facility is causing repeated problems.,Infrastructure,Maintenance,Closed,CUST7232,2025-11-14 14:25:00,2025-12-02 19:37:02,2026-07-23 20:15:32,poor maintenance facility causing repeated problems,437.2005555555556,Negative,-0.7003,Negative,-0.9997307658195496,Negative,-0.9997307658195496,transformer
710,710,Security personnel are not checking IDs properly at the gate.,Safety Concern,Security,Resolved,CUST1630,2025-08-24 15:36:00,2025-08-28 06:07:16,2026-07-23 20:15:32,security personnel checking ids properly gate,86.52111111111111,Positive,0.34,Negative,-0.9997747540473938,Negative,-0.9997747540473938,transformer
711,711,Very unprofessional behavior from the officer on duty.,Staff Behavior,Customer Support,Closed,CUST7481,2025-06-02 09:56:00,2025-06-04 01:27:06,2026-07-23 20:15:32,unprofessional behavior officer duty,39.51833333333333,Negative,-0.5563,Negative,-0.9969633221626282,Negative,-0.9969633221626282,transformer
712,712,I want to thank the team for resolving my issue so quickly.,,Customer Support,Resolved,CUST5770,2025-07-17 15:48:00,2025-07-18 21:13:01,2026-07-23 20:15:32,want thank team resolving issue quickly,29.416944444444443,Positive,0.6597,Positive,0.9981899857521057,Positive,0.9981899857521057,transformer
713,713,The employee refused to help and was arguing instead of assisting.,,Customer Support,In Progress,CUST1893,2025-09-10 07:29:00,,2026-07-23 20:15:32,employee refused help arguing instead assisting,,Negative,-0.3612,Negative,-0.9993220567703247,Negative,-0.9993220567703247,transformer
714,714,There is a major leakage that has not been fixed for weeks.,Infrastructure,Maintenance,Open,CUST3945,2025-06-21 05:28:00,,2026-07-23 20:15:32,major leakage fixed weeks,,Neutral,0.0,Negative,-0.9974085688591003,Negative,-0.9974085688591003,transformer
715,715,Thank you for quickly fixing the safety issue I reported earlier.,,Security,Resolved,CUST4308,2025-03-14 09:20:00,2025-03-19 18:36:39,2026-07-23 20:15:32,thank quickly fixing safety issue reported earlier,129.2775,Positive,0.6486,Positive,0.9871915578842163,Positive,0.9871915578842163,transformer
716,716,I was asked to pay extra money to get my work done faster.,Corruption/Bribery,Administration,Closed,CUST3024,2025-04-23 15:41:00,2025-04-29 15:02:21,2026-07-23 20:15:32,asked pay extra money get work done faster,143.35583333333332,Negative,-0.1027,Negative,-0.9994475245475769,Negative,-0.9994475245475769,transformer
717,717,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Closed,CUST9383,2025-08-03 15:33:00,2025-08-04 03:45:17,2026-07-23 20:15:32,late fee applied paid time,12.20472222222222,Neutral,0.0,Negative,-0.9993433356285095,Negative,-0.9993433356285095,transformer
718,718,There is a major leakage that has not been fixed for weeks.,Infrastructure,Maintenance,Closed,CUST3459,2025-06-13 11:02:00,2025-06-18 18:54:18,2026-07-23 20:15:32,major leakage fixed weeks,127.87166666666668,Neutral,0.0,Negative,-0.9974085688591003,Negative,-0.9974085688591003,transformer
719,719,My bill amount doubled this month without any explanation.,,Billing,Resolved,CUST8311,2025-03-23 22:03:00,2025-03-24 16:03:47,2026-07-23 20:15:32,bill amount doubled month without explanation,18.013055555555557,Neutral,0.0,Negative,-0.9965940117835999,Negative,-0.9965940117835999,transformer
720,720,No technician has visited despite multiple requests.,Service Delay,Operations,Open,CUST1200,2025-02-05 15:12:00,,2026-07-23 20:15:32,technician visited despite multiple requests,,Negative,-0.296,Negative,-0.9824507832527161,Negative,-0.9824507832527161,transformer
721,721,Very unprofessional behavior from the officer on duty.,,Customer Support,Closed,CUST8794,2025-07-01 12:38:00,2025-07-06 22:17:00,2026-07-23 20:15:32,unprofessional behavior officer duty,129.65,Negative,-0.5563,Negative,-0.9969633221626282,Negative,-0.9969633221626282,transformer
722,722,Very unprofessional behavior from the officer on duty.,Staff Behavior,Customer Support,In Progress,CUST4401,2025-02-20 17:00:00,,2026-07-23 20:15:32,unprofessional behavior officer duty,,Negative,-0.5563,Negative,-0.9969633221626282,Negative,-0.9969633221626282,transformer
723,723,My bill amount doubled this month without any explanation.,,Billing,Open,CUST5889,2025-01-12 18:02:00,,2026-07-23 20:15:32,bill amount doubled month without explanation,,Neutral,0.0,Negative,-0.9965940117835999,Negative,-0.9965940117835999,transformer
